"","Subject","Location","Description","Start Date","Start Time","End Date","End Time"
"1","战火 Paisan（1946）","中国电影资料馆,小西天艺术影院,1号厅","意大利语
中文
￥60
淘票票网售，当日现场售票",2019-03-30,"13:00:00",2019-03-30,"14:58:00"
"2","魔盒  The Magic Box（1951）","中国电影资料馆,小西天艺术影院,2号厅","汉语普通话（汉配）
中文
￥20
淘票票网售，当日现场售票",2019-03-29,"18:30:00",2019-03-29,"20:16:00"
"3","印度  India：Matri Bhumi（1959）","中国电影资料馆,小西天艺术影院,1号厅","意大利语
中文
￥50
淘票票网售，当日现场售票",2019-03-29,"19:00:00",2019-03-29,"20:29:00"
"4","闯入者 Red Amnesia (2014)","中国电影资料馆,小西天艺术影院,2号厅","汉语普通话
中文
￥30
淘票票网售，当日现场售票",2019-03-28,"18:30:00",2019-03-28,"20:28:00"
"5","偷自行车的人 The Bicycle Thieves（1948）","中国电影资料馆,小西天艺术影院,1号厅","意大利语
中文
￥40
淘票票网售，当日现场售票",2019-03-28,"19:00:00",2019-03-28,"20:05:00"
"6","羞辱 The Insult (2017)","中国电影资料馆,小西天艺术影院,2号厅","阿拉伯语
中文
￥30
淘票票网售，当日现场售票",2019-03-27,"18:30:00",2019-03-27,"19:45:00"
"7","茶馆 The Teahouse（1982）","中国电影资料馆,小西天艺术影院,1号厅","汉语普通话
中文
￥10
淘票票网售，当日现场售票",2019-03-27,"19:00:00",2019-03-27,"20:29:00"
"8","洛神 Goddess Luo River (1956)","中国电影资料馆,小西天艺术影院,2号厅","汉语普通话
中文
￥20
淘票票网售，当日现场售票",2019-03-26,"18:30:00",2019-03-26,"19:45:00"
"9","不成问题的问题 Mr. No Problem（2016）","中国电影资料馆,小西天艺术影院,1号厅","汉语普通话
中文
￥30
淘票票网售，当日现场售票",2019-03-26,"19:00:00",2019-03-26,"20:51:00"
"10","爱情Amour（1948）","中国电影资料馆,小西天艺术影院,1号厅","意大利语
中文
￥50
淘票票网售，当日现场售票",2019-03-24,"13:00:00",2019-03-24,"14:34:00"
"11","对比：肯·洛奇的生活和影片 Versus: The Life and Films of Ken Loach（2016）","中国电影资料馆,小西天艺术影院,2号厅","英语
中文
￥40
淘票票网售，当日现场售票",2019-03-24,"13:30:00",2019-03-24,"14:52:00"
"12","人生如戏Life Itself （2014）","中国电影资料馆,小西天艺术影院,2号厅","英语
中文
￥40
淘票票网售，当日现场售票",2019-03-24,"15:30:00",2019-03-24,"18:42:00"
"13","德意志零年German Year Zero（1948）","中国电影资料馆,小西天艺术影院,1号厅","意大利语
中文
￥50
淘票票网售，当日现场售票",2019-03-24,"16:00:00",2019-03-24,"18:45:00"
"14","布鲁克林Brooklyn（2015）","中国电影资料馆,小西天艺术影院,1号厅","英语
中文
￥50
淘票票网售，当日现场售票",2019-03-24,"18:30:00",2019-03-24,"20:11:00"
"15","罗马，不设防的城市Rome Open City（1945）","中国电影资料馆,小西天艺术影院,1号厅","意大利语
中文
￥60
淘票票网售，当日现场售票",2019-03-23,"13:00:00",2019-03-23,"15:12:00"
"16","米花之味The Taste of Rice Flower (2017)","中国电影资料馆,小西天艺术影院,2号厅","汉语普通话
中文
￥20
淘票票网售，当日现场售票",2019-03-23,"13:30:00",2019-03-23,"15:11:00"
"17","秘密炸弹Machine to Kill Bad People（1952）","中国电影资料馆,小西天艺术影院,1号厅","意大利语
中文
￥50
淘票票网售，当日现场售票",2019-03-23,"15:30:00",2019-03-23,"17:18:00"
"18","一江春水向东流（修复版）The Spring River Flows East (1947)","中国电影资料馆,小西天艺术影院,2号厅","汉语普通话
中文
￥30
淘票票网售，当日现场售票",2019-03-23,"16:00:00",2019-03-23,"18:05:00"
