"","Subject","Location","Description","Start Date","Start Time","End Date","End Time"
"1","乐士浮生录Buena Vista Social Club（1999）","中国电影资料馆,小西天艺术影院,1号厅","


",2019-05-19,"13:00:00",2019-05-19,"13:49:00"
"2","皮娜(3D) Pina - Dance, Dance, Otherwise We Are Lost（2011）","中国电影资料馆,小西天艺术影院,1号厅","


",2019-05-19,"15:15:00",2019-05-19,"17:38:00"
"3","地球之盐The Salt of the Earth（2014）","中国电影资料馆,小西天艺术影院,1号厅","法语
中文
￥60
淘票票网售，当日现场售票",2019-05-19,"19:00:00",2019-05-19,"20:50:00"
"4","爱丽丝城市漫游记Alice in the Cities（1973）","中国电影资料馆,小西天艺术影院,1号厅","


",2019-05-18,"12:00:00",2019-05-18,"14:23:00"
"5","公路之王Kings of the Road（1975）","中国电影资料馆,小西天艺术影院,1号厅","


",2019-05-18,"14:40:00",2019-05-18,"16:30:00"
"6","错误的举动Wrong Move（1975）","中国电影资料馆,小西天艺术影院,1号厅","


",2019-05-18,"20:00:00",2019-05-18,"20:49:00"
"7","德州巴黎Paris, Taxas（1984）","中国电影资料馆,小西天艺术影院,1号厅","


",2019-05-17,"19:00:00",2019-05-17,"20:50:00"
"8","孩子王King of the Children（1987）","中国电影资料馆,小西天艺术影院,1号厅","


",2019-05-15,"19:00:00",2019-05-15,"21:23:00"
"9","X战警：第一战X-Men: First Class (2011)","中国电影资料馆,小西天艺术影院,1号厅","


",2019-05-14,"13:00:00",2019-05-14,"13:49:00"
"10","X战警：逆转未来X-Men: Days of Future Past (2014)","中国电影资料馆,小西天艺术影院,1号厅","


",2019-05-14,"16:45:00",2019-05-14,"19:08:00"
"11","X战警：天启X-Men: Days of Future Past (2016)","中国电影资料馆,小西天艺术影院,1号厅","


",2019-05-14,"19:30:00",2019-05-14,"21:20:00"
"12","希斯特斯兄弟The Sisters Brothers（2018）","中国电影资料馆,小西天艺术影院,1号厅","


",2019-05-11,"13:00:00",2019-05-11,"15:23:00"
"13","开战At War（2018）","中国电影资料馆,小西天艺术影院,1号厅","


",2019-05-11,"15:45:00",2019-05-11,"17:35:00"
"14","红色RED（2018）","中国电影资料馆,小西天艺术影院,1号厅","


",2019-05-11,"18:20:00",2019-05-11,"19:09:00"
"15","狗镇Dogville（2003）","中国电影资料馆,小西天艺术影院,1号厅","


",2019-05-10,"19:00:00",2019-05-10,"20:50:00"
"16","大鼻子情圣Cyrano de Bergerac（1990）","中国电影资料馆,小西天艺术影院,1号厅","


",2019-05-09,"19:00:00",2019-05-09,"21:23:00"
"17","黄宝妹Huang Baomei（1958）","中国电影资料馆,小西天艺术影院,1号厅","汉语普通话
中文
￥10
淘票票网售，当日现场售票",2019-05-08,"19:00:00",2019-05-08,"19:49:00"
"18","歌剧魅影The Phantom of the Opera（2004）","中国电影资料馆,小西天艺术影院,1号厅","英语
中文
￥40
当日现场售票",2019-05-07,"19:00:00",2019-05-07,"20:50:00"
